name,curr_price,old_price,prod_link,discount,rating,brand
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),25850,43995.0,https://www.jumia.co.ke/home-office-appliances//von-vart-19dhs-double-door-fridge-136l-silver-1yr-wrty-267725143.html,41%,4.3,von
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Titan  (1YR WRTY),33176,48900.0,https://www.jumia.co.ke/home-office-appliances//ramtons-rf257-2-door-direct-cool-fridge-213-liters-titan-1yr-wrty-177871878.html,32%,4.2,ramtons
"VON VRT-195DRHS Double Door Direct Cool - 195L, Dark Silver  (1YR WRTY)",30999,48995.0,https://www.jumia.co.ke/home-office-appliances//von-vrt-195drhs-double-door-direct-cool-195l-dark-silver-1yr-wrty-305389486.html,37%,4.5,von
Ecomax 219 Litres Large Capacity Chest Freezer With Free Freezer Guard,34500,39999.0,https://www.jumia.co.ke/home-office-appliances//ecomax-219-litres-large-capacity-chest-freezer-with-free-freezer-guard-316023110.html,14%,0.0,ecomax
Vitron VDF99SG Flip-top Freezer 97 Litres - Silver (1YR WRTY),18750,26591.0,https://www.jumia.co.ke/home-office-appliances//vitron-vdf99sg-flip-top-freezer-97-litres-silver-1yr-wrty-155190510.html,29%,4.4,vitron
Hisense 206L Double Door Refrigerator RD-27DR4SA (2YRs WRTY),55000,,https://www.jumia.co.ke/home-office-appliances//hisense-206l-double-door-refrigerator-rd-27dr4sa-2yrs-wrty-50705223.html,,4.5,hisense
"Vision Plus 91L Single Door Fridge, Silver (2YRS WRTY)",17045,20000.0,https://www.jumia.co.ke/home-office-appliances//vision-plus-91l-single-door-fridge-silver-2yrs-wrty-288512962.html,15%,4.6,vision
"Smart Pro SFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",29545,35454.0,https://www.jumia.co.ke/home-office-appliances//smart-pro-sfr-190s-i-single-door-refrigerator-150l-silver-1yr-wrty-280221119.html,17%,0.0,smart
"Smart Pro SFR-250-DT-I 206L, Double Door Fridge - Silver (1YR WRTY)",33807,40568.0,https://www.jumia.co.ke/home-office-appliances//smart-pro-sfr-250-dt-i-206l-double-door-fridge-silver-1yr-wrty-309491107.html,17%,4.0,smart
Vitron VDR170DS 170 Liters Double Door Fridge - Silver Hairline (1YR WRTY),30114,36137.0,https://www.jumia.co.ke/home-office-appliances//vitron-vdr170ds-170-liters-double-door-fridge-silver-hairline-1yr-wrty-101614761.html,17%,4.2,vitron
